1. Nathan MacKinnon, Col (C1)
2. Auston Matthews, Tor (C2)
3. David Pastrnak, Bos (RW1)
4. Connor McDavid, Edm (C3)
5. Nikita Kucherov, TB (RW2)
6. Mikko Rantanen, Col (RW3)
7. Brady Tkachuk, Ott (LW1)
8. Leon Draisaitl, Edm (C4)
9. Roman Josi, Nsh (D1)
10. William Nylander, Tor (C5)
11. Kirill Kaprizov, Min (LW2)
12. J.T. Miller, Van (C6)
13. Matthew Tkachuk, Fla (LW3)
14. Elias Pettersson, Van (C7)
15. Sidney Crosby, Pit (C8)
16. Steven Stamkos, Nsh (C9)
17. Cale Makar, Col (D2)
18. Artemi Panarin, NYR (LW4)
19. Rasmus Dahlin, Buf (D3)
20. Brayden Point, TB (C10)
21. Kyle Connor, Wpg (LW5)
22. Jason Robertson, Dal (LW6)
23. Jack Hughes, NJ (C11)
24. Alex Ovechkin, Wsh (LW7)
25. Andrei Vasilevskiy, TB (G1)
26. Mika Zibanejad, NYR (C12)
27. Zach Hyman, Edm (RW4)
28. Filip Forsberg, Nsh (RW5)
29. Jake Guentzel, TB (LW8)
30. Sam Reinhart, Fla (RW6)
31. Frank Vatrano, Ana (LW9)
32. Carter Verhaeghe, Fla (C13)
33. Jack Eichel, Vgk (C14)
34. Connor Bedard, Chi (C15)
35. Dylan Larkin, Det (C16)
36. John Tavares, Tor (C17)
37. Nick Suzuki, Mon (C18)
38. Connor Hellebuyck, Wpg (G2)
39. Vincent Trocheck, NYR (C19)
40. Noah Dobson, NYI (D4)
41. Chris Kreider, NYR (LW10)
42. Wyatt Johnston, Dal (C20)
43. Joel Eriksson Ek, Min (C21)
44. Mitch Marner, Tor (RW7)
45. Matt Boldy, Min (LW11)
46. Evan Bouchard, Edm (D5)
47. Aleksander Barkov, Fla (C22)
48. Travis Konecny, Phi (RW8)
49. Tage Thompson, Buf (C23)
50. Adrian Kempe, LA (C24)
51. Jordan Kyrou, StL (RW9)
52. Victor Hedman, TB (D6)
53. Jonathan Marchessault, Nsh (LW12)
54. Clayton Keller, Utah (RW10)
55. Dougie Hamilton, NJ (D7)
56. Lucas Raymond, Det (RW11)
57. Alex DeBrincat, Det (RW12)
58. Sebastian Aho, Car (LW13)
59. Quinn Hughes, Van (D8)
60. Josh Morrissey, Wpg (D9)
61. Igor Shesterkin, NYR (G3)
62. MacKenzie Weegar, Cgy (D10)
63. Adam Fox, NYR (D11)
64. Tim Stutzle, Ott (C25)
65. Moritz Seider, Det (D12)
66. Nico Hischier, NJ (C26)
67. Fabian Zetterlund, SJ (LW14)
68. Evgeni Malkin, Pit (C27)
69. Jesper Bratt, NJ (LW15)
70. John Carlson, Wsh (D13)
71. Owen Tippett, Phi (RW13)
72. Mike Matheson, Mon (D14)
73. Erik Karlsson, Pit (D15)
74. Brock Nelson, NYI (C28)
75. Nazem Kadri, Cgy (C29)
76. Kevin Fiala, LA (LW16)
77. Ryan Nugent-Hopkins, Edm (LW17)
78. Tyler Toffoli, SJ (RW14)
79. Timo Meier, NJ (LW18)
80. Thatcher Demko, Van (G4)
81. Brock Faber, Min (D16)
82. Jared McCann, Sea (LW19)
83. Cole Caufield, Mon (RW15)
84. Jacob Trouba, NYR (D17)
85. Brandon Montour, Sea (D18)
86. Jake Sanderson, Ott (D19)
87. Anze Kopitar, LA (C30)
88. Patrik Laine, Mon (RW16)
89. Marco Rossi, Min (C31)
90. Darnell Nurse, Edm (D20)
91. Juuse Saros, Nsh (G5)
